paper_id,title,year
W4391649568,Minimal information for studies of extracellular vesicles (MISEV2023): From basic to advanced approaches,2024
W4213024862,International Journal of Agriculture and Biology,2024
W4207062214,Scientific Research and Essays,2024
W4396725743,Phase Transitions and Critical Phenomena,2024
W4392562160,Discrete Event System Simulation,2024
W4210903333,McGill Journal of Education,2024
W4400445037,Pattern Recognition Principles,2024
W4390545247,Automation and Remote Control,2024
W4212770354,Food Technology and Biotechnology,2025
W4394956715,Transactions of the Chinese Society of Agricultural Machinery,2024
W2911361414,Combinatorial Enumeration,2024
W4395519122,Herbarium specimens of Herbiers Universitaires de Clermont-Ferrand (CLF),2024
W2035237805,Theories of Surplus Value,2024
W1521128975,The Origins And Spread Of Agriculture And Pastoralism In Eurasia,2024
W4395317764,HVAT - Herbário do Vale do Taquari,2024
W1508194135,Food Composition and Nutrition Tables,2024
W1524788453,Applied Behavior Analysis for Teachers,2024
W4399083018,Intelligent Clinical Documentation: Harnessing Generative AI for Patient-Centric Clinical Note Generation,2024
W4395582956,CAS Entomology (ENT),2024
W4402992091,Psychological Science,2024
W2003494253,Algorithms+Data Structures = Programs,2024
W4400591407,Prediction of Daily Climate Using Long Short-Term Memory (LSTM) Model,2024
W4400928626,Analysis of Cylinder Comp Product Quality Control with Proposed Improvements at PT. Jakarta Automotive,2024
W4401226312,Sustainable Fashion: Exploring the Concept of Greenwashing and New Trends in the Fashion Industry,2024
W4396834099,Millet based Nutritious Powder for the Geriatric Population,2024
W4399900763,IoT Solutions in Agriculture: Enhancing Efficiency and Productivity,2024
W4400217631,Classifying Crop Leaf Diseases using Different Deep Learning Models with Transfer Learning,2024
W4400361567,The Overview on Effectiveness of Quality Enhancement for Enhancing Health Care and Professional Practice,2024
W4400896559,Optimization of Raw Material Inventory using Always Better Control (ABC) Analysis and Economic Order Quantity (EOQ) Method Approach in the Warehouse of a Bolt Manufacturing Factory in Indonesia,2024
W4401122848,"The Impact of ESG (Environmental, Social, and Governance) Considerations on Corporate Mergers and Acquisitions: Strategies for Value Creation",2024
W4401146808,"A Detailed Case Study on Deviation, Out-of-Specification(OOS) and CAPA Generation in Pharmaceutical Industry",2024
W4401287805,Research on the Impact of Geopolitical Instability on Russian Trade,2024
W4396800642,Investigating Non-Newtonian Fluid Behavior in Hydrocyclones Via Computational Fluid Dynamics,2024
W4399685394,Advanced Modelling of Soil Organic Carbon Content in Coal Mining Areas Using Integrated Spectral Analysis: A Dengcao Coal Mine Case Study,2024
W4400588278,The Government's Role in DMO-based Urban Tourism in Kayutangan area of Malang city,2024
W4400833987,A Systematic Review on the Distribution of Invasive Plant Species Across Asia: Assessing the Rates of Invasion Success and Management,2024
W4400837307,Quality Control to Reduce Appearance Defects at PT. Musical Instrument,2024
W4400988476,Using Machine Learning to Identify Diseases and Perform Sorting in Apple Fruit,2024
W4395437824,Kastikka Small Collections,2024
W4395636896,HUFSJ - Herbário da Universidade Federal de São João del-Rei,2024
W4400232689,Economic growth and income inequality,2024
W4403424371,Journal of Law and Economics,2024
W2188632414,Middle-East Journal of Scientific Research,2024
W4396228980,Implications of Adnexal Invasions in Primary Extramammary Paget’s Disease: A Systematic Review,2024
W4395492310,"Botanical Research Institute of Texas, Philecology Herbarium",2024
W2067822693,Philosophy of Mathematics Education,2024
W4391602018,Auto-Encoding Variational Bayes,2024
W2142040044,Diffusion-weighted MR imaging of acute stroke: correlation with T2-weighted and magnetic susceptibility-enhanced MR imaging in cats,2024
W4395307930,University of Tennessee Bryophyte Herbarium,2024
W4396108480,CHAS Ornithology (Arctos),2024
W4200178834,International Journal of Pharmaceutical Sciences and Research,2025
W4392159830,Principles of Categorization,2024
W4395604123,Naturalis Biodiversity Center (NL) - Chelicerata and Myriapoda,2024
W4399714287,KDIGO 2024 Clinical Practice Guideline for the Evaluation and Management of Chronic Kidney Disease,2024
W4399114252,Attention and Interpretation,2024
W4395639093,University of Tennessee Fungal Herbarium,2024
W1767339332,Grounded Theory: A Practical Guide,2024
W2990177142,International Journal of Engineering Research and Applications,2024
W4395135914,"Fungarium, Oslo (O) UiO",2024
W4399407564,International Journal of Energy Economics and Policy,2024
W2141312052,Knowledge Representation and Reasoning,2024
W2291445757,Support Vector Regression,2024
W4395383960,"Auburn University, John D. Freeman Herbarium",2024
W4401272513,Two Treatises of Government,2024
W88864901,Spoken Language Processing,2024
W4395554300,UTEP Mammals (Arctos),2024
W4403939428,Mindfulness-based cognitive therapy for depression,2024
W2997047671,The Problem of Activity in Psychology,2024
W1527911134,Fundamentals of Multiphase Flow,2024
W4395217604,Duke University Herbarium Bryophyte Collection,2024
W2912001609,Molecular Medicine Reports,2025
W4395655304,Löydös Open Finnish Observation Database,2024
W4251609852,Journal of Traffic and Transportation Engineering,2024
W2308181013,10.2 Maximum Likelihood from Incomplete Data,2024
W1505620647,Biomedical Informatics: Computer Applications in Health Care and Biomedicine,2024
W4394894573,"Global incidence, prevalence, years lived with disability (YLDs), disability-adjusted life-years (DALYs), and healthy life expectancy (HALE) for 371 diseases and injuries in 204 countries and territories and 811 subnational locations, 1990–2021: a systematic analysis for the Global Burden of Disease Study 2021",2024
W4231499903,Marine Fisheries Review,2024
W4395615919,Funed-Pol - Coleção de lâminas de grãos de pólen,2024
W1797125039,International Journal of Current Microbiology and Applied Sciences,2024
W4395287368,University of Wyoming Museum of Vertebrates (UWYMV) Mammal Collection (Arctos),2024
W4395208513,Mammal collection of National Museum of Nature and Science,2024
W4393020831,Canadian Journal of Educational Administration and Policy,2024
W2891943192,3 Epistemologies of the South: Justice Against Epistemicide,2024
W4401917994,Building Face Ageing Model Using Face Synthesis,2024
W4403999349,Applied Behavior Analysis for Teachers,2024
W4402061574,Abstractive Text Summarization Using GAN,2024
W4400827986,Utilization of Differently Processed Sesame Seed Meal as a Source of Methionine in Guinea Fowls Diets,2024
W4400929582,Response of Broiler Chickens to Three Different Energy Source Feedstuffs,2024
W4401552709,Circuit Breaker,2024
W4401666902,Cyberfraud in the Nigerian Banking Sector: The Techniques and Preventive Measures,2024
W4391169031,2024 Heart Disease and Stroke Statistics: A Report of US and Global Data From the American Heart Association,2024
W4396771941,"Comparative Analysis of Flood Estimation using Log-Pearson Type III and Gumbel Max Models in the Cauvery River, India",2024
W4400459768,Design and Analysis of Various Formwork Systems,2024
W4401029690,Experimental Study on Effectiveness of Square Stepping Exercise for Fall Risk Mitigation Among Senior Citizens,2024
W4401974787,Haematological Studies of Broilers (1-28 Days) Fed with Diet Containing Varying Proportions of Tithonia Diversifolia Leaf Protein Concentrate,2024
W4402232563,"Analysis of Factors Influencing Container Shortage in Tanjung Priok Port, Jakarta",2024
W4395344739,Staten Island Museum,2024
W4393041264,Effect of Occupational Transfers on Employee Engagement in Private Universities in Western Kenya By IJISRT,2024
W4396670389,Qualitative Data Analysis,2024
W4230630381,Educational Research and Reviews,2024
W4395383260,"Texas A&amp;M University, S.M. Tracy Herbarium",2024
W4395413572,US herbarium - Smithsonian Institute - Amostras Brasileiras Repatriadas - Herbário Virtual REFLORA,2024
W4400906565,Theories of the policy process,2024
W4395623816,TUL Herbarium: Tula Oblast collections of vascular plants,2024
W1560617638,"An Essay on the Principle of Population, as it Affects the Future Improvement of Society, with Remarks on the Speculations of Mr. Godwin, M. Condorcet, and Other Writers",2025
W4395359776,"Vascular plant collections of the Botanical Museum, University of Oulu (OULU)",2024
W2093346156,Biological Control of Insect Pests and Weeds,2025
W4399916542,Advances in Psychological Science,2024
W4398783137,The Postcolonial Studies Reader,2024
W4400907212,"The Fourth Industrial Revolution: what it means, how to respond1",2024
W4395207938,NHMD Ichthyology Collection,2024
W4395203920,Herbarium specimens of the Muséum d'Histoire Naturelle d'Autun (AUT),2024
W4403770406,YOLOv9: Learning What You Want to Learn Using Programmable Gradient Information,2024
W2101915099,Handbook of Eating Disorders and Obesity,2024
W4403159200,Proceedings of the 57th Hawaii International Conference on System Sciences,2024
W4391109864,Segment anything in medical images,2024
W4395164344,University of Minnesota Insect Collection,2024
W3107518930,US-China Education Review A,2025
W4395390449,Naturalis Biodiversity Center (NL) - Porifera,2024
W4395418644,HUCO - Herbário da Universidade Estadual do Centro-Oeste,2024
W1529066158,Measuring mental health needs,2025
W4395653157,University of Wyoming Museum of Vertebrates (UWYMV) Bird Collection (Arctos),2024
W1561249631,Modern Architecture: A Critical History,2024
W4403658645,Attention and performance,2024
W4248107455,African Journal of Microbiology Research,2024
W4401504684,SOUTH ASIAN JOURNAL OF MANAGEMENT,2024
W4200519416,Experimental and Therapeutic Medicine,2024
W4395119007,UF Florida Museum Paleobotany,2024
W4250406710,Philosophical Transactions of the Royal Society B: biological sciences,2024
W4396935714,Research Methodology: A Step-By-Step Guide For Beginners,2024
W4404817908,Population and housing census,2024
W1697523394,From Moral Principles in Education (1909),2025
W4213097104,Journal of Thoracic Disease,2024
W4244836331,Chemical Communications,2024
W4213172209,Annals of Translational Medicine,2024
W4395438199,"Louisiana State University, Shirley C. Tucker Herbarium - Lichens",2024
W2986574354,African Journal of Environmental Science and Technology,2024
W1524661032,Second Treatise Of Civil Government,2024
W4395622440,ZUEC-AMP - Coleção de Anfíbios do Museu de Zoologia da UNICAMP,2024
W3204393433,Reflectarray Antennas,2024
W4392832248,World Journal of Agricultural Sciences,2024
W4402062995,Ironmaking and Steelmaking,2024
W4200220798,International Journal of Offshore and Polar Engineering,2024
W4394785938,Interactive Tree of Life (iTOL) v6: recent updates to the phylogenetic tree display and annotation tool,2024
W4395625465,UCM Fish Collection (Arctos),2024
W4400954484,Candidate of Economic Sciences,2024
W4399141561,Handbook of Semiconductors,2024
W1991628622,Cognition and the Symbolic Processes,2024
W2769533150,Proceedings of the CHI Conference on Human Factors in Computing Systems,2024
W4392963387,Chelonian Conservation and Biology,2024
W4403869072,Introduction to Rock Mechanics,2024
W1513145215,IEICE Transactions on Communications,2024
W4391592880,"A Phase 3, Randomized, Controlled Trial of Resmetirom in NASH with Liver Fibrosis",2024
W1560082457,Trends and Issues in Instructional Design and Technology,2024
W4395194688,KUO Vascular plant collections (KUO),2024
W4398233154,Fundamentals of Electric circuits,2024
W2954308418,The Araneae collection (AR) of the Muséum national d'Histoire naturelle (MNHN - Paris),2024
W4395393071,ASE herbarium - Universidade Federal de Sergipe - Herbário Virtual REFLORA,2024
W4403175460,International Higher Education,2024
W4395265821,UF Florida Museum of Natural History Ornithology,2024
W4391891557,Diagnostic and Statistical Manual of Mental Disorders (DSM),2024
W4403308944,The reflective practitioner,2024
W4391136507,A Survey on Evaluation of Large Language Models,2024
W4395285768,Herbarium specimens of Institut Scientifique Mohamed V university (RAB),2024
W4391671392,"Cancer incidence and mortality in China, 2022",2024
W4403119640,WHO Classification of Tumours,2024
W4395360999,Baylor University Herbarium,2024
W4392304105,"Worldwide trends in underweight and obesity from 1990 to 2022: a pooled analysis of 3663 population-representative studies with 222 million children, adolescents, and adults",2024
W4395658126,Caatinga Biome - RB - Rio de Janeiro Botanical Garden Herbarium Collection,2024
W4393403950,Journal of Heart Valve Disease,2024
W4205449552,Journal of the Marine Biological Association of India,2025
W2083507833,CULTURE AND EXPERIENCE,2024
W1980591506,"Probability Theory, An Analytic View",2024
W4395437123,Naturalis Biodiversity Center (NL) - Cainozoic Mollusca,2024
W4399360124,Bulletin of the American Meteorological Society,2024
W2044788246,Mysticism and Philosophy,2024
W2599499292,Advanced Materials Research,2024
W1938153123,Journal of Electrical Engineering,2024
W3107748392,Electromagnetic Fields and Waves,2025
W2460119131,Defect and Diffusion Forum,2024
W4400015143,Introductory Lectures on Psychoanalysis,2024
W4392590281,Sociology of Health and Illness,2024
W4400026919,Journal of Family and Consumer Sciences,2024
W4392664198,Using Convolutional Neural Network to Design and Predict the Forces and Kinematic Performance and External Rotation Moment of the Hip Joint in the Pelvis,2024
W1569630469,Biochemistry and Physiology of Polyamines in Plants,2024
W4392909747,Cloud Computing: Principles And Paradigms,2024
W4395420690,BHCB-SL - Herbário UFMG - Samambaias e Licófitas,2024
W4395643941,"Species monitoring and inventories SICONA, Recorder-Lux database",2024
W4399129924,Surveiller et punir - Naissance de la prison,2024
W4404140014,From Logistics to Supply Chain Management,2024
W4395595496,Canadian Museum of Nature Insect Collection,2024
W4395180023,ECT herbarium - Embrapa Clima Temperado - Herbário Virtual REFLORA,2024
W4395332831,KUBI Paleobotany Collection,2024
W4395579608,KUBI Vertebrate Paleontology Collection,2024
W4395653531,Brigham Young University Life Science Museum (BYU) Mammal Collection (Arctos),2024
W216934668,Deep Centers in Semiconductors,2024
W4395535826,"University of Idaho, Stillinger Herbarium Vascular Plants",2024
W4404193879,Clinical Psychology Review,2024
W636562718,The Berne Convention for the Protection of Literary and Artistic Works,2025
W4401892658,Structural Improvement in Crane Boom Rest,2024
W4393858312,"Global burden of 288 causes of death and life expectancy decomposition in 204 countries and territories and 811 subnational locations, 1990–2021: a systematic analysis for the Global Burden of Disease Study 2021",2024
W636633373,Propagation Problems and Impulse Problems in Dynamic Economics1,2024
W4395316641,"University of Colorado, Museum of Natural History Herbarium Bryophyte Collection",2024
W1585962948,Optical Coherence Tomography of Ocular Diseases,2024
W4395098280,JBI Manual for Evidence Synthesis,2024
W4400459487,Turkish Journal of Chemistry,2024
W2287213645,Revista de Pesquisa Cuidado é Fundamental Online,2024
W1487422198,Human Rights and Social Work: Towards Rights-Based Practice,2024
W4395501130,The Scorpiones collection (RS) of the Muséum national d'Histoire naturelle (MNHN - Paris),2024
W16884164,Spain: Health System Review.,2024
W4399074339,Beck Depression Inventory-II (BDI-II),2024
W4395434350,Bryophyte Herbarium (H): Herbarium Generale,2024
W4395302947,The cnidarians collection (IK) of the Muséum national d'Histoire naturelle (MNHN - Paris),2024
W1631191700,"Zoonomia, or, The Laws of Organic Life",2024
W4239792181,Pakistan Journal of Agricultural Sciences,2024
W4392249452,1 Fortschritte der Medizin,2024
W4396946025,"Global burden and strength of evidence for 88 risk factors in 204 countries and 811 subnational locations, 1990–2021: a systematic analysis for the Global Burden of Disease Study 2021",2024
W4394772750,Developmental Psychology,2024
W4395637495,Mammalia (Luomus),2024
W2062410155,Against Common Sense: Teaching and Learning Toward Social Justice,2024
W1523865339,Essays on Marx's Theory of Value,2024
W4402824626,Feminism and the Mastery of Nature,2024
W4206699732,Journal of Materials Chemistry A,2024
W3016904718,2 Quantum theory of radiation,2024
W4393317860,Status of Instructional Leadership Practices in Botswana's Public Technical and Vocational Education and Training: A Case of Brigades,2024
W4394970555,IoT Based Soil pH Detection and Crop Recommendation System,2024
W4395021297,Zambian Consumers and the Country-of-Origin Effect,2024
W4395259026,CEPANN - Coleção Entomológica Paulo Nogueira-Neto - IB/USP,2024
W4401211033,Review of Particle Physics,2024
W4400708108,Public communication campaigns,2024
W4213343795,Laryngo-Rhino-Otologie,2024
W4396189555,"Species inventories NP Öewersauer, Recorder-Lux Database",2024
W4400662300,Collaborative Networks: Integrating Blockchain for Enhanced Trust and Transparency,2024
W4395342265,Washington State University Herbarium,2024
W4402275599,Implementing Blockchain Technology for Optimized Supply Chain and Enhanced Sustainability,2024
W4402522488,Unified Grounding Systems for Future Projects to Ensure Public Safety and Improve Performance,2024
W4402525333,Comparison of In-Hospital Outcomes of Anterior Wall Versus Inferior Wall ST Elevation Myocardial Infarction Following Percutaneous Coronary Intervention: A Descriptive Cross-Sectional Study,2024
W4403309342,Encyclopedia of Emulsion Technology,2024
W4243334054,Psychiatrische Praxis,2025
W4396560090,2024 Alzheimer's disease facts and figures,2024
W4406170399,Materials Today: Proceedings,2025
W4400848995,Global cancer statistics 2022,2024
W4399426680,The State of World Fisheries and Aquaculture 2024,2024
W4402754006,DETRs Beat YOLOs on Real-time Object Detection,2024
W4395267017,Bird collection of National Museum of Nature and Science,2024
W4395538524,R. L. McGregor Herbarium Lichen Collection,2024
W4205258316,Communications in Computational Physics,2024
W4404398379,Fundamentals of Acoustics,2024
W4392471745,Qualitative Social Research,2024
W4400300417,The Sustainable Development Goals Report 2024,2024
W2598495917,"Invent To Learn: Making, Tinkering and Engineering in the Classroom",2024
W4392159130,Journal of Rural Social Sciences,2024
W4399742179,Human Nature and Conduct,2024
W2764515646,Annals of the Rheumatic Diseases,2024
W4395398912,KUZ Herbarium: collections of vascular plants,2024
W3196836501,Revisiting Event-Study Designs: Robust and Efficient Estimation,2024
W4401822401,Commentaries On The Laws Of England.,2024
W1600881365,Gendered Jobs and Social Change,2024
W4392712414,Te Linde’s Operative Gynecology,2024
W1573409773,The Origin and Development of the Bengali Language,2024
W4395554302,The Diptera collection (ED) of the Muséum national d'Histoire naturelle (MNHN - Paris),2024
W4395684075,Automation and Remote Control,2024
W4395635521,Naturalis Biodiversity Center (NL) - Hemiptera,2024
W2183682212,Significance of cerebellar tonsillar position on MR,2024
W4400458988,Economic Calculation in the Socialist Commonwealth1,2024
W4395121736,R-Bryophyta - Herbário do Museu Nacional - Bryophyta,2024
W4394013229,Power Generation from Footsteps by Using Piezoelectric Sensor,2024
W4392791500,"Global, regional, and national burden of disorders affecting the nervous system, 1990–2021: a systematic analysis for the Global Burden of Disease Study 2021",2024
W578813554,SOUND TRANSMISSION THROUGH A FLUCTUATING OCEAN,2024
W4395194514,University of Central Arkansas Herbarium,2024
W4390584677,Metode Penelitian Kualitatif,2024
W4392851186,Essays on Some Unsettled Questions of Political Economy (1844),2024
W4251389700,Environmental Science: Nano,2024
W4390519207,"Review of: ""Nano supercapacitors (supercapacitors or electrochemical nanocapacitors)""",2024
W4404920992,"Essays, Moral, Political and Literary",2024
W4394625410,SOCIAL MOVEMENTS AND CULTURE,2024
W4393278153,High Efficiency In vitro Whole Plant Regeneration via Desiccated Callus in Oryza sativa cv. MTU1010,2024
W4390520030,"Review of: ""FinFET nanotransistor downscaling causes more short channel effects, less gate control, exponential increase in leakage currents, drastic process changes and unmanageable power densities""",2024
W4391218419,Semantics and cognition,2024
W4400942135,Introductory Nuclear Physics,2024
W3125226742,The Financial Market Effects of the Federal Reserve's Large-Scale Asset Purchases *,2024
W4390521069,"Review of: ""transistor nMOS (with ultra-low power consumption, energy-efficient computing, during the sub-threshold range)""",2024
W4395188864,"Bryophyte herbarium, The Arctic University Museum of Norway (TROM)",2024
W4395315895,Canadian Museum of Nature Annelid Collection,2024
W629970806,Electron Spin Echo Envelope Modulation (ESEEM) Spectroscopy,2024
W2553375070,Lexicon Iconographicum Mythologiae Classicae,2024
W4395535976,NINA insect database,2024
W3145528153,"Hormonal control of gill Na ,K -atPase and chloride cell function",2024
W4394728226,Improved charge extraction in inverted perovskite solar cells with dual-site-binding ligands,2024
W2297831771,Portugaliae Mathematica,2024
W4395369084,Naturalis Biodiversity Center (NL) - Diptera,2024
W4401338748,CAT: a computational anatomy toolbox for the analysis of structural MRI data,2024
W4395437801,DZUP-Hymenoptera - Coleção Entomológica Pe. Jesus Santiago Moure (Hymenoptera),2024
W4398208019,Preparation and Identification of Magnetic Iron Nanoparticle based on a Natural Hydrogel and its Performance in Targeted Drug Delivery,2024
W4396946000,Findings from the Global Burden of Disease Study 2021,2024
W4206067633,F1000Research,2025
W4398182947,A Hand Book of Field and Herbarium Methods,2024
W4404463492,The Concept of Activity in Soviet Psychology,2024
W4390482881,"Review of: ""Graphene molecular nanomemories show unique electronic properties, and their small dimensions, structural strength, and high performance make them a charge storage medium for Nano memory applications""",2024
W4401164724,"Dementia prevention, intervention, and care: 2024 report of the Lancet standing Commission",2024
W4396625109,Development of a Low-Cost Banana Fiber Extractor,2024
W4396625320,Development of a Cost-Effective Coconut Dehusking Machine,2024
W4403400061,Vehicle System Dynamics,2024
W4395627614,Crustacea Collection - Instituto Nacional de Pesquisas da Amazônia (INPA),2024
W4401914194,Curriculum Development for Medical Education: A Six-Step Approach,2024
W2017364849,"Pelvic Fracture in Multiple Trauma: Classification by Mechanism is Key to Pattern of Organ Injury, Resuscitative Requirements, and Outcome",2024
W4390578745,"Review of: ""The field-effect tunneling transistor nMOS, as an alternative to conventional CMOS by enabling the voltage supply (VDD) with ultra-low power consumption,""",2024
W4395622565,The nematodes collection (IN) of the Muséum national d'Histoire naturelle (MNHN - Paris),2024
W4398781461,Effects of Semaglutide on Chronic Kidney Disease in Patients with Type 2 Diabetes,2024
W4395324824,Canadian Museum of Nature Fossil Vertebrate Collection,2024
W4395439098,New Mexico Museum of Natural History and Science (NMMNHS) Paleontology specimens (Arctos),2024
W4405513821,Fundamentals of Acoustics,2024
W255189610,Digital Terrain Analysis,2025
W1494876737,Tourism and Innovation,2024
W4390619433,"Review of: ""FinFET nanotransistor, the reduction of scale causes more short channel effects, less gate control, an exponential increase in leakage currents, severe process changes, and power densities""",2024
W1739779199,Theoretical Implications of the Spacing Effect 1,2024
W1809873675,Journal of Machine Learning Technologies,2024
W4395609472,Arkansas Tech University Herbarium,2024
W4400089962,Revised criteria for diagnosis and staging of Alzheimer's disease: Alzheimer's Association Workgroup,2024
W589207856,Pervious Concrete Pavements,2025
W4403733476,The Essential Physics of Medical Imaging,2024
W4396735259,Review on Childhood Obesity: Discussing Effects of Gestational Age at Birth and Spotting Association of Postterm Birth with Childhood Obesity,2024
W4390919957,Global incidence and mortality of severe fungal disease,2024
W4394707886,Electrochemical Hydrogen Storage Materials: State-of-the-Art and Future Perspectives,2024
W637205171,Sensitization in the Nervous System,2024
W1497292870,Grand Unified Theories,2025
W4400282101,Knowledge by Acquaintance and Knowledge by Description [1911],2024
W2913256821,Constraint Satisfaction,2024
W2117692113,Asymptotic Methods in Equations of Mathematical Physics,2024
W4238052850,European Respiratory Journal,2024
W4399176852,International Journal of Advanced Research in Computer and Communication Engineering,2024
W4404536767,Theory and Resistance in Education,2024
